year,author,decade,num_characters,num_words,num_unique_words
1953,forster_e,1950s,10388,1798,626
1953,greene_graham,1950s,9365,1663,582
1953,mauriac_françois,1950s,16006,2704,877
1953,shaw_irwin,1950s,25988,4513,1284
1954,cary_joyce,1950s,18388,3132,990
1954,moravia_alberto,1950s,25854,4314,1247
1954,styron_william,1950s,22803,3862,1167
1955,algren_nelson,1950s,27290,4912,1028
1955,ellison_ralph,1950s,24907,4271,1280
1955,simenon_georges,1950s,20365,3605,756
1955,thurber_james,1950s,21722,3861,1019
1956,dinesen_isak,1950s,13293,2352,759
1956,faulkner_william,1950s,33601,6002,1442
1956,parker_dorothy,1950s,17704,3124,979
1956,sagan_françoise,1950s,7456,1284,492
1956,wilder_thornton,1950s,25848,4382,1423
1957,capote_truman,1950s,23010,3828,1346
1957,o’connor_frank,1950s,34828,6085,1291
1957,warren_robert,1950s,37758,6544,1547
1957,wilson_angus,1950s,22270,3857,1036
1958,green_henry,1950s,10999,1967,702
1958,hemingway_ernest,1950s,27085,4855,1261
1958,jones_james,1950s,30301,5371,1199
1959,durrell_lawrence,1950s,40595,7091,1723
1959,eliot_t,1950s,26233,4587,1089
1960,frost_robert,1960s,35061,6201,1246
1960,huxley_aldous,1960s,30104,5095,1360
1961,ehrenburg_ilya,1960s,7816,1336,503
1961,lowell_robert,1960s,51779,8899,1649
1961,moore_marianne,1960s,33620,5714,1620
1962,mccarthy_mary,1960s,49735,8523,1650
1962,miller_henry,1960s,36527,6329,1356
1962,pound_ezra,1960s,32527,5611,1568
1963,perelman_s,1960s,18092,3007,1272
1963,porter_katherine,1960s,40509,7196,1487
1963,waugh_evelyn,1960s,8198,1381,595
1964,céline_louis,1960s,20444,3591,1032
1964,cocteau_jean,1960s,26075,4561,1397
1964,mailer_norman,1960s,45287,7820,1722
1964,williams_william,1960s,28461,5030,1221
1965,beauvoir_simone,1960s,22303,3847,1038
1965,burroughs_william,1960s,49611,8408,2035
1965,hellman_lillian,1960s,29767,5248,1242
1966,albee_edward,1960s,35321,6031,1282
1966,bellow_saul,1960s,29987,4902,1469
1966,cendrars_blaise,1960s,42340,7298,2125
1966,ginsberg_allen,1960s,79028,13501,2507
1966,miller_arthur,1960s,54878,9504,1946
1966,pinter_harold,1960s,26206,4488,1123
1967,borges_jorge,1960s,55417,9760,1685
1967,nabokov_vladimir,1960s,19647,3212,1343
1968,aiken_conrad,1960s,28307,4936,1323
1968,creeley_robert,1960s,47101,8240,1651
1968,kerouac_jack,1960s,50666,8918,2133
1968,singer_isaac,1960s,28136,4940,1003
1968,updike_john,1960s,47431,8012,2322
1969,graves_robert,1960s,25227,4397,1313
1969,passos_john,1960s,29001,4943,1287
1969,white_e,1960s,29573,5027,1549
1970,olson_charles,1970s,25153,4387,1173
1970,seferis_george,1970s,40829,7039,1445
1971,neruda_pablo,1970s,32710,5520,1505
1972,berryman_john,1970s,49412,8535,1766
1972,kosinski_jerzy,1970s,37836,6243,1772
1972,welty_eudora,1970s,34343,6090,1309
1973,burgess_anthony,1970s,50175,8406,2161
1974,auden_w,1970s,34900,5979,1612
1974,heller_joseph,1970s,24918,4271,1141
1974,isherwood_christopher,1970s,51213,8844,1945
1974,macleish_archibald,1970s,42975,7662,1646
1974,vidal_gore,1970s,45167,7659,1901
1975,amis_kingsley,1970s,37554,6508,1511
1975,donleavy_j,1970s,58701,10272,2056
1975,malamud_bernard,1970s,23993,4022,1294
1975,wodehouse_p,1970s,20958,3709,940
1975,wright_james,1970s,35649,6456,1422
1976,cheever_john,1970s,29020,4946,1481
1976,dickey_james,1970s,45177,7936,1782
1976,elkin_stanley,1970s,42181,7351,1666
1976,goyen_william,1970s,55486,9706,1968
1976,wheelock_john,1970s,24409,4332,1154
1977,gass_william,1970s,51541,8811,1970
1977,vonnegut_kurt,1970s,45879,7866,2008
1977,west_jessamyn,1970s,23090,4060,1092
1977,wilbur_richard,1970s,54713,9552,2048
1977,young_marguerite,1970s,21204,3633,1056
1978,cain_james,1970s,32712,5825,1343
1978,didion_joan,1970s,24719,4266,1035
1978,drabble_margaret,1970s,27397,4756,1118
1978,oates_joyce,1970s,33248,5411,1574
1978,powell_anthony,1970s,35440,6236,1161
1979,gardner_john,1970s,58448,9991,2018
1979,ignatow_david,1970s,53375,9058,1894
1979,levi_peter,1970s,49701,8620,1733
1979,rhys_jean,1970s,17774,3148,838
1979,shaw_irwin,1970s,21574,3784,1021
1980,spender_stephen,1980s,56103,9679,1900
1980,voznesensky_andrei,1980s,17077,2970,780
1981,barthelme_donald,1980s,35538,5904,1936
1981,bishop_elizabeth,1980s,34913,6160,1394
1981,bowles_paul,1980s,34429,5873,1525
