aardvark	aardvarks
abacus	abaci
abacus	abacuses
abalone	abalones
abandon	abandoned
abandon	abandoning
abandon	abandons
abase	abased
abase	abases
abase	abasing
abash	abashed
abash	abashes
abash	abashing
abate	abated
abate	abates
abate	abating
abatement	abatements
abattoir	abattoirs
abbess	abbesses
abbey	abbeys
abbot	abbots
abbreviate	abbreviated
abbreviate	abbreviates
abbreviate	abbreviating
abbreviation	abbreviations
abcess	abcesses
abdicate	abdicated
abdicate	abdicates
abdicate	abdicating
abdication	abdications
abdomen	abdomens
abdomen	abdomina
abdominal	abdominals
abduct	abducted
abduct	abducting
abduct	abducts
abduction	abductions
abductor	abductors
aberration	aberrations
abet	abets
abet	abetted
abet	abetting
abhor	abhorred
abhor	abhorring
abhor	abhors
abide	abided
abide	abides
abide	abiding
abide	abode
ability	abilities
abject	abjected
abject	abjecting
abject	abjects
abjecter	abjecters
abjure	abjured
abjure	abjures
abjure	abjuring
ablate	ablated
ablate	ablates
ablate	ablating
ablation	ablations
able	abler
able	ablest
ablution	ablutions
abnormality	abnormalities
abode	abodes
abolish	abolished
abolish	abolishes
abolish	abolishing
abolition	abolitions
abolitionist	abolitionists
abominate	abominated
abominate	abominates
abominate	abominating
abomination	abominations
aboriginal	aboriginals
aborigine	aborigines
abort	aborted
abort	aborting
abort	aborts
abortifacient	abortifacients
abortion	abortions
abortionist	abortionists
abound	abounded
abound	abounding
abound	abounds
about-face	about-faces
about-turn	about-turns
abrade	abraded
abrade	abrades
abrade	abrading
abrasion	abrasions
abrasive	abrasives
abreaction	abreactions
abridge	abridged
abridge	abridges
abridge	abridging
abridgement	abridgements
abridgment	abridgments
abrogate	abrogated
abrogate	abrogates
abrogate	abrogating
abrogation	abrogations
abrupt	abrupter
abrupt	abruptest
abruption	abruptions
abscess	abscesses
abscissa	abscissae
abscissa	abscissas
abscond	absconded
abscond	absconding
abscond	absconds
abseil	abseiled
abseil	abseiling
abseil	abseils
absence	absences
absent	absented
absent	absenting
absent	absents
absentee	absentees
absenteeism	absenteeisms
absinthe	absinthes
absolute	absolutes
absolutist	absolutists
absolve	absolved
absolve	absolves
absolve	absolving
absorb	absorbed
absorb	absorbing
absorb	absorbs
absorbance	absorbances
absorbency	absorbencies
absorbent	absorbents
absorber	absorbers
absorptiometry	absorptiometries
absorption	absorptions
abstain	abstained
abstain	abstaining
abstain	abstains
